dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
233 1.425 0 0 0 232.022 1.41705 0 0 -3209.6007 15233.0174 3.19744 -0.0942478 1664754034.43848 -0.275762 -1
233 1.425 0 1.64863 0 231.71 1.41705 0.0592072 0 -3209.6007 15233.0174 3.15381 -0.0680678 1664754113.46979 -0.228638 -1
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.592 15233.0168 NaN NaN 1664754135.93991 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5914 15233.0166 NaN NaN 1664754141.0304 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN -3209.5913 15233.017 NaN NaN 1664754146.14505 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5913 15233.0165 NaN NaN 1664754151.29684 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5907 15233.0165 NaN NaN 1664754156.42096 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN -3209.5907 15233.0171 NaN NaN 1664754161.30701 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5888 15233.0183 NaN NaN 1664754166.42661 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5865 15233.0199 NaN NaN 1664754171.54062 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 0 NaN -3209.5866 15233.0179 NaN NaN 1664754176.64285 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5865 15233.0165 NaN NaN 1664754181.77182 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.586 15233.0161 NaN NaN 1664754186.88403 NaN NaN
-233 1.19196 0 1.64936 -0.4538 -232.284 1.19049 0.0280455 0 -3209.5857 15233.016 2.87281 -0.176278 1664754191.7829 0.0750492 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.5908 15233.0186 NaN NaN 1664754196.81351 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.592 15233.0206 NaN NaN 1664754201.73584 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 1.67962 NaN -3209.5966 15233.0219 NaN NaN 1664754206.65225 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.6026 15233.023 NaN NaN 1664754211.55225 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN -3209.6086 15233.0241 NaN NaN 1664754216.44653 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.85811 NaN -3209.6147 15233.0253 NaN NaN 1664754221.34012 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 8.0366 NaN NaN NaN NaN NaN 1664754235.6561 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 11.0593 NaN NaN NaN NaN NaN 1664754249.69318 NaN NaN
-233 0.762023 -0.267537 1.64784 -0.4538 -232.596 0.926564 NaN -0.394196 NaN NaN 1.70519 -0.521853 1664754254.42734 -0.0401426 31.8557
NaN NaN NaN NaN NaN NaN NaN 14.1755 NaN NaN NaN NaN NaN 1664754263.88898 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 16.6684 NaN NaN NaN NaN NaN 1664754277.92322 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.5041 NaN NaN NaN NaN NaN 1664754291.94833 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 21.9659 NaN NaN NaN NaN NaN 1664754305.98706 NaN NaN
-233 0.720824 0.0745479 1.64795 -0.4538 -233.22 0.728923 NaN 0.0753461 NaN NaN 1.61268 -0.438078 1664754315.36188 -0.0610865 32.1376
NaN NaN NaN NaN NaN NaN NaN 24.7393 NaN NaN NaN NaN NaN 1664754320.12231 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 27.6373 NaN NaN NaN NaN NaN 1664754334.1449 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 30.1303 NaN NaN NaN NaN NaN 1664754348.70154 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.1642 NaN NaN NaN NaN NaN 1664754363.06158 NaN NaN
233 -0.0446707 0.118287 1.64802 0.4538 231.398 0.00223077 27.8243 0.144413 NaN NaN 1.46957 0.371755 1664754377.16382 -0.0349066 32.271
NaN NaN NaN NaN NaN NaN NaN 26.0481 NaN NaN NaN NaN NaN 1664754391.21146 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 24.303 NaN NaN NaN NaN NaN 1664754405.23206 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 22.4333 NaN NaN NaN NaN NaN 1664754419.33447 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 20.1897 NaN NaN NaN NaN NaN 1664754433.41019 NaN NaN
233 -0.211948 0.115195 1.64807 0.4538 231.71 -0.218308 NaN 0.116159 NaN NaN 1.60221 0.446804 1664754438.14865 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 17.9149 NaN NaN NaN NaN NaN 1664754447.53937 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.5154 NaN NaN NaN NaN NaN 1664754461.55969 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 13.3964 NaN NaN NaN NaN NaN 1664754475.5791 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.9035 NaN NaN NaN NaN NaN 1664754489.604 NaN NaN
233 -0.211948 -0.0322151 1.64805 0.4538 232.126 -0.218308 NaN -0.0470913 NaN NaN 1.60047 0.476475 1664754498.98438 -0.0523599 NaN
NaN NaN NaN NaN NaN NaN NaN 8.50403 NaN NaN NaN NaN NaN 1664754503.73215 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 6.1669 NaN NaN NaN NaN NaN 1664754517.74939 NaN NaN
